Sample,Total Reads (before trimming),Duplication percentage,Total reads (after Trimming),Mapped Reads,Unmapped reads,Percentage of mapped reads,Uniquely mapped reads before deduplication,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP27,27492146,34.18675939,27043232,26241048,802184,97.03369775,23516898,Ind1,VEH,TOP2B,ChIP_DNA,Ind1_VEH_TOP2B,VEH_TOP2B,Ind1_TOP2B,Ind1_ChIP_DNA
MCW_SP_ChIP28,37432573,22.57731284,37196396,35974764,1221632,96.71572482,32028452,Ind1,DOX,TOP2B,ChIP_DNA,Ind1_DOX_TOP2B,DOX_TOP2B,Ind1_TOP2B,Ind1_ChIP_DNA
MCW_SP_ChIP29,42338993,32.31768481,42123988,41456972,667016,98.41654119,36711626,Ind1,VEH,p53,ChIP_DNA,Ind1_VEH_p53,VEH_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP30,41080985,18.58041873,40894382,39574864,1319518,96.77335141,34404575,Ind1,DOX,p53,ChIP_DNA,Ind1_DOX_p53,DOX_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP31,28748977,20.85211582,28682668,27426570,1256098,95.62070725,24590249,Ind2,VEH,TOP2B,ChIP_DNA,Ind2_VEH_TOP2B,VEH_TOP2B,Ind2_TOP2B,Ind2_ChIP_DNA
MCW_SP_ChIP32,29941838,16.5881214,29861258,29375489,485769,98.3732467,26157450,Ind2,DOX,TOP2B,ChIP_DNA,Ind2_DOX_TOP2B,DOX_TOP2B,Ind2_TOP2B,Ind2_ChIP_DNA
MCW_SP_ChIP33,49187614,40.92931305,49105679,48125732,979947,98.00441208,42418447,Ind2,VEH,p53,ChIP_DNA,Ind2_VEH_p53,VEH_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP34,40771181,63.11806153,40728804,40139746,589058,98.55370661,34954536,Ind2,DOX,p53,ChIP_DNA,Ind2_DOX_p53,DOX_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP35,30058102,12.02140155,30039209,29796948,242261,99.19351738,26313808,Ind1,VEH,Input_P53,Input_DNA,Ind1_VEH_Input_P53,VEH_Input_P53,Ind1_Input_P53,Ind1_Input_DNA
MCW_SP_ChIP36,28193501,2.987883672,28192191,27948898,243293,99.13701989,24776400,Ind1,DOX,Input_P53,Input_DNA,Ind1_DOX_Input_P53,DOX_Input_P53,Ind1_Input_P53,Ind1_Input_DNA
MCW_SP_ChIP37,29580659,2.63938288,29579717,29276328,303389,98.97433434,25922014,Ind2,VEH,Input_P53,Input_DNA,Ind2_VEH_Input_P53,VEH_Input_P53,Ind2_Input_P53,Ind2_Input_DNA
MCW_SP_ChIP38,25881768,3.41810647,25874008,25540473,333535,98.71092642,22367405,Ind2,DOX,Input_P53,Input_DNA,Ind2_DOX_Input_P53,DOX_Input_P53,Ind2_Input_P53,Ind2_Input_DNA
MCW_SP_ChIP39,33243261,72.39084951,33222723,32341018,881705,97.34607847,29079696,Ind3,VEH,TOP2B,ChIP_DNA,Ind3_VEH_TOP2B,VEH_TOP2B,Ind3_TOP2B,Ind3_ChIP_DNA
MCW_SP_ChIP40,37953022,65.31395333,37864578,37203602,660976,98.2543685,33334674,Ind3,DOX,TOP2B,ChIP_DNA,Ind3_DOX_TOP2B,DOX_TOP2B,Ind3_TOP2B,Ind3_ChIP_DNA
MCW_SP_ChIP41,40025761,51.96649254,39931102,39337327,593775,98.51300122,35397522,Ind3,VEH,p53,ChIP_DNA,Ind3_VEH_p53,VEH_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP42,33992896,29.61133564,33967771,33551262,416509,98.77381121,29602960,Ind3,DOX,p53,ChIP_DNA,Ind3_DOX_p53,DOX_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP43,11723955,42.04798439,11705537,11401074,304463,97.39898306,10195741,Ind4,VEH,TOP2B,ChIP_DNA,Ind4_VEH_TOP2B,VEH_TOP2B,Ind4_TOP2B,Ind4_ChIP_DNA
MCW_SP_ChIP44,30757717,24.40834754,30730475,30376421,354054,98.84787332,26986458,Ind4,DOX,TOP2B,ChIP_DNA,Ind4_DOX_TOP2B,DOX_TOP2B,Ind4_TOP2B,Ind4_ChIP_DNA
MCW_SP_ChIP45,51805178,44.23950136,51758766,51066616,692150,98.6627386,44873769,Ind4,VEH,p53,ChIP_DNA,Ind4_VEH_p53,VEH_p53,Ind4_p53,Ind4_ChIP_DNA
MCW_SP_ChIP46,51364092,74.32866864,51338905,50816916,521989,98.98324867,44154285,Ind4,DOX,p53,ChIP_DNA,Ind4_DOX_p53,DOX_p53,Ind4_p53,Ind4_ChIP_DNA
