Sample,Total,Mapped,Fragments,ReadsInPeaks,FRiP,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP27,46135396,46135396,45644116,101344,0.00222,VEH,TOP2B,ChIP_DNA,Ind1_VEH_TOP2B,VEH_TOP2B,Ind1_TOP2B,Ind1_ChIP_DNA
MCW_SP_ChIP28,63180895,63180895,62718110,18737,0.000299,DOX,TOP2B,ChIP_DNA,Ind1_DOX_TOP2B,DOX_TOP2B,Ind1_TOP2B,Ind1_ChIP_DNA
MCW_SP_ChIP31,48260956,48260956,47689502,48179,0.00101,VEH,TOP2B,ChIP_DNA,Ind2_VEH_TOP2B,VEH_TOP2B,Ind2_TOP2B,Ind2_ChIP_DNA
MCW_SP_ChIP32,51445867,51445867,51024880,9972,0.000195,DOX,TOP2B,ChIP_DNA,Ind2_DOX_TOP2B,DOX_TOP2B,Ind2_TOP2B,Ind2_ChIP_DNA
MCW_SP_ChIP39,56938752,56938752,56243032,26887,0.000478,VEH,TOP2B,ChIP_DNA,Ind3_VEH_TOP2B,VEH_TOP2B,Ind3_TOP2B,Ind3_ChIP_DNA
MCW_SP_ChIP40,65410620,65410620,64810244,60248,0.00093,DOX,TOP2B,ChIP_DNA,Ind3_DOX_TOP2B,DOX_TOP2B,Ind3_TOP2B,Ind3_ChIP_DNA
MCW_SP_ChIP43,20075189,20075189,19886720,3829,0.000193,VEH,TOP2B,ChIP_DNA,Ind4_VEH_TOP2B,VEH_TOP2B,Ind4_TOP2B,Ind4_ChIP_DNA
MCW_SP_ChIP44,53149961,53149961,52867746,13719,0.000259,DOX,TOP2B,ChIP_DNA,Ind4_DOX_TOP2B,DOX_TOP2B,Ind4_TOP2B,Ind4_ChIP_DNA
MCW_SP_ChIP51,39587752,39587752,38934036,384793,0.009883,VEH,TOP2B,ChIP_DNA,Ind5_VEH_TOP2B,VEH_TOP2B,Ind5_TOP2B,Ind5_ChIP_DNA
MCW_SP_ChIP52,45689263,45689263,44731216,53470,0.001195,DOX,TOP2B,ChIP_DNA,Ind5_DOX_TOP2B,DOX_TOP2B,Ind5_TOP2B,Ind5_ChIP_DNA
MCW_SP_ChIP55,37685688,37685688,36925878,150873,0.004086,VEH,TOP2B,ChIP_DNA,Ind6_VEH_TOP2B,VEH_TOP2B,Ind6_TOP2B,Ind6_ChIP_DNA
MCW_SP_ChIP56,64758114,64758114,64151800,112630,0.001756,DOX,TOP2B,ChIP_DNA,Ind6_DOX_TOP2B,DOX_TOP2B,Ind6_TOP2B,Ind6_ChIP_DNA
