sample,Peaks,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP29,5,Ind1,VEH,p53,ChIP_DNA,Ind1_VEH_p53,VEH_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP30,57,Ind1,DOX,p53,ChIP_DNA,Ind1_DOX_p53,DOX_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP33,294,Ind2,VEH,p53,ChIP_DNA,Ind2_VEH_p53,VEH_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP34,53,Ind2,DOX,p53,ChIP_DNA,Ind2_DOX_p53,DOX_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP41,161,Ind3,VEH,p53,ChIP_DNA,Ind3_VEH_p53,VEH_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP42,186,Ind3,DOX,p53,ChIP_DNA,Ind3_DOX_p53,DOX_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP45,7,Ind4,VEH,p53,ChIP_DNA,Ind4_VEH_p53,VEH_p53,Ind4_p53,Ind4_ChIP_DNA
MCW_SP_ChIP46,71,Ind4,DOX,p53,ChIP_DNA,Ind4_DOX_p53,DOX_p53,Ind4_p53,Ind4_ChIP_DNA
MCW_SP_ChIP53,194,Ind5,VEH,p53,ChIP_DNA,Ind5_VEH_p53,VEH_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP54,669,Ind5,DOX,p53,ChIP_DNA,Ind5_DOX_p53,DOX_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP57,142,Ind6,VEH,p53,ChIP_DNA,Ind6_VEH_p53,VEH_p53,Ind6_p53,Ind6_ChIP_DNA
MCW_SP_ChIP58,185,Ind6,DOX,p53,ChIP_DNA,Ind6_DOX_p53,DOX_p53,Ind6_p53,Ind6_ChIP_DNA
