pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.94	50	18464	369.28
9.60	4.70	61	20797	340.93
9.30	4.48	74	24095	325.61
9.00	4.22	82	26671	325.26
8.70	3.96	90	29826	331.40
8.40	3.74	103	33129	321.64
8.10	3.51	121	38294	316.48
7.80	3.26	142	43312	305.01
7.50	3.06	179	53246	297.46
7.20	2.81	201	60330	300.15
6.90	2.62	248	75329	303.75
6.60	2.39	307	94491	307.79
6.30	2.20	425	132192	311.04
6.00	1.96	520	160847	309.32
5.70	1.81	756	240186	317.71
5.40	1.63	1082	359875	332.60
5.10	1.40	1297	446682	344.40
4.80	1.26	1888	657810	348.42
4.50	1.11	2790	1005007	360.22
4.20	0.90	3593	1353233	376.63
3.90	0.70	5427	2109048	388.62
3.60	0.67	7862	3179072	404.36
3.30	0.49	11211	4776581	426.06
3.00	0.27	23385	10122132	432.85
2.70	0.27	35558	16347143	459.73
2.40	0.17	44627	21537190	482.60
2.10	0.07	146372	77031601	526.27
1.80	0.07	200653	112119678	558.77
1.50	0.00	302276	191038800	632.00
1.20	0.00	681787	592987701	869.76
0.90	0.00	823468	906863129	1101.27
0.60	0.00	667569	1964611848	2942.93
0.30	0.00	399665	2368639819	5926.56
