pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.91	44	16783	381.43
9.60	4.67	53	18807	354.85
9.30	4.44	62	21239	342.56
9.00	4.18	65	22086	339.78
8.70	3.92	73	25288	346.41
8.40	3.70	88	28826	327.57
8.10	3.47	102	33061	324.13
7.80	3.22	116	36658	316.02
7.50	3.02	149	46640	313.02
7.20	2.78	168	52813	314.36
6.90	2.58	208	67147	322.82
6.60	2.36	286	90841	317.63
6.30	2.17	351	112443	320.35
6.00	1.93	441	139879	317.19
5.70	1.77	636	208112	327.22
5.40	1.57	923	316581	342.99
5.10	1.36	1084	383382	353.67
4.80	1.22	1557	558239	358.54
4.50	1.06	2293	849989	370.69
4.20	0.87	3108	1201200	386.49
3.90	0.66	4533	1802836	397.71
3.60	0.64	7001	2915515	416.44
3.30	0.45	9463	4108097	434.12
3.00	0.25	20240	9092398	449.23
2.70	0.25	30609	14574329	476.15
2.40	0.15	40761	20450745	501.72
2.10	0.04	123410	66867804	541.83
1.80	0.04	186142	107600343	578.06
1.50	0.00	287566	188461948	655.37
1.20	0.00	645800	578781514	896.22
0.90	0.00	795862	912353753	1146.37
0.60	0.00	675447	1904331558	2819.36
0.30	0.00	374823	2382916860	6357.45
