pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.54	16	4397	274.81
9.60	4.26	16	4410	275.62
9.30	4.05	21	5327	253.67
9.00	3.85	22	5659	257.23
8.70	3.60	24	6069	252.88
8.40	3.33	24	6107	254.46
8.10	3.14	33	8358	253.27
7.80	2.95	34	8583	252.44
7.50	2.69	36	9100	252.78
7.20	2.42	37	9386	253.68
6.90	2.28	45	11277	250.60
6.60	2.09	50	12623	252.46
6.30	1.82	53	13295	250.85
6.00	1.54	55	13852	251.85
5.70	1.51	113	24460	216.46
5.40	1.29	126	27292	216.60
5.10	1.03	143	30587	213.90
4.80	0.87	465	90403	194.42
4.50	0.87	585	112584	192.45
4.20	0.64	669	128212	191.65
3.90	0.49	2430	471108	193.87
3.60	0.49	3523	681549	193.46
3.30	0.38	4194	811003	193.37
3.00	0.23	17554	3572552	203.52
2.70	0.23	27510	5649617	205.37
2.40	0.20	42406	8838556	208.43
2.10	0.07	137565	31502373	229.00
1.80	0.07	222204	52006636	234.05
1.50	0.05	304802	73047240	239.65
1.20	0.00	964479	285016373	295.51
0.90	0.00	1290723	404187017	313.15
0.60	0.00	2327120	1160329769	498.61
0.30	0.00	2462122	1524948442	619.36
