pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.61	52	11219	215.75
9.60	5.38	59	12947	219.44
9.30	5.09	62	13529	218.21
9.00	4.81	64	13995	218.67
8.70	4.63	111	24780	223.24
8.40	4.39	122	27306	223.82
8.10	4.12	131	29383	224.30
7.80	3.84	137	30674	223.90
7.50	3.65	225	50013	222.28
7.20	3.40	262	57776	220.52
6.90	3.14	315	69129	219.46
6.60	2.87	335	73718	220.05
6.30	2.63	566	125998	222.61
6.00	2.43	667	148299	222.34
5.70	2.20	841	186556	221.83
5.40	1.93	926	205659	222.09
5.10	1.69	1633	369175	226.07
4.80	1.54	2102	477699	227.26
4.50	1.31	2469	562208	227.71
4.20	1.04	2604	593283	227.84
3.90	0.89	4855	1134615	233.70
3.60	0.82	7011	1655614	236.15
3.30	0.58	8055	1906241	236.65
3.00	0.36	9685	2299040	237.38
2.70	0.31	31776	7972532	250.90
2.40	0.31	44724	11265098	251.88
2.10	0.14	56747	14405274	253.85
1.80	0.03	245382	71139844	289.91
1.50	0.03	412104	123756106	300.30
1.20	0.02	490508	149594580	304.98
0.90	0.00	1582728	706620586	446.46
0.60	0.00	1954031	976780208	499.88
0.30	0.00	545993	2788203447	5106.67
