pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.18	10	2762	276.20
9.60	3.91	10	2799	279.90
9.30	3.63	13	3367	259.00
9.00	3.45	13	3393	261.00
8.70	3.23	16	4073	254.56
8.40	2.96	17	4243	249.59
8.10	2.69	19	4809	253.11
7.80	2.55	30	7709	256.97
7.50	2.38	34	8556	251.65
7.20	2.18	43	10506	244.33
6.90	1.91	46	11294	245.52
6.60	1.67	78	17450	223.72
6.30	1.67	95	21158	222.72
6.00	1.52	130	28380	218.31
5.70	1.26	149	32180	215.97
5.40	0.98	158	33992	215.14
5.10	0.98	374	76603	204.82
4.80	0.98	501	101585	202.76
4.50	0.74	566	114361	202.05
4.20	0.53	1467	298433	203.43
3.90	0.53	2813	572064	203.36
3.60	0.53	3492	710564	203.48
3.30	0.38	4412	899011	203.76
3.00	0.23	17669	3790780	214.54
2.70	0.23	35440	7735771	218.28
2.40	0.23	47276	10398126	219.95
2.10	0.06	138929	34040610	245.02
1.80	0.06	338793	87881442	259.40
1.50	0.06	444711	117913096	265.15
1.20	0.00	956989	318908320	333.24
0.90	0.00	1817373	718727582	395.48
0.60	0.00	2122091	927598635	437.12
0.30	0.00	384148	2889334406	7521.41
