pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.47	342	89334	261.21
9.60	5.18	352	92413	262.54
9.30	4.89	362	95512	263.85
9.00	4.62	379	101516	267.85
8.70	4.33	391	104859	268.18
8.40	4.04	402	108108	268.93
8.10	3.78	426	115376	270.84
7.80	3.49	445	121127	272.20
7.50	3.21	469	127318	271.47
7.20	2.93	492	133463	271.27
6.90	2.66	515	141329	274.43
6.60	2.38	532	147460	277.18
6.30	2.11	569	157802	277.33
6.00	1.86	600	169038	281.73
5.70	1.59	628	177974	283.40
5.40	1.34	678	194091	286.27
5.10	1.14	725	208992	288.26
4.80	0.90	773	224336	290.21
4.50	0.73	911	259189	284.51
4.20	0.59	1025	287362	280.35
3.90	0.42	1211	332413	274.49
3.60	0.34	2027	514261	253.71
3.30	0.26	2957	720025	243.50
3.00	0.14	7151	1638566	229.14
2.70	0.14	10501	2381606	226.80
2.40	0.05	18726	4208027	224.72
2.10	0.02	52259	12113211	231.79
1.80	0.00	96633	22933692	237.33
1.50	0.00	277060	72093333	260.21
1.20	0.00	430141	116694655	271.29
0.90	0.00	1119785	374582958	334.51
0.60	0.00	1884795	823830012	437.09
0.30	0.00	2168995	1695579737	781.74
