pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.66	5288	1054168	199.35
9.60	6.38	5541	1109489	200.23
9.30	6.09	5823	1168810	200.72
9.00	5.81	6226	1255879	201.72
8.70	5.53	6678	1356962	203.20
8.40	5.25	7111	1454302	204.51
8.10	4.97	7452	1532074	205.59
7.80	4.69	8010	1667011	208.12
7.50	4.42	8647	1815913	210.00
7.20	4.13	8958	1891270	211.13
6.90	3.84	9176	1946371	212.12
6.60	3.59	10466	2265851	216.50
6.30	3.30	10785	2348910	217.79
6.00	3.01	11057	2419848	218.85
5.70	2.75	12092	2693567	222.76
5.40	2.48	12884	2915244	226.27
5.10	2.19	13320	3036953	228.00
4.80	1.93	14520	3373171	232.31
4.50	1.68	15676	3703560	236.26
4.20	1.41	16401	3918785	238.94
3.90	1.16	17844	4356545	244.15
3.60	0.97	20443	5046324	246.85
3.30	0.73	22138	5533075	249.94
3.00	0.51	25187	6372720	253.02
2.70	0.38	41387	10194655	246.33
2.40	0.29	58650	14337714	244.46
2.10	0.11	68557	16835906	245.58
1.80	0.05	200744	49887853	248.51
1.50	0.05	314648	80045476	254.40
1.20	0.00	833745	247788363	297.20
0.90	0.00	1275272	411002699	322.29
0.60	0.00	2196188	1064332201	484.63
0.30	0.00	2420870	1568098990	647.74
