pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.24	11	3792	344.73
9.60	3.97	12	3976	331.33
9.30	3.78	15	4724	314.93
9.00	3.50	15	4785	319.00
8.70	3.23	15	4803	320.20
8.40	3.01	17	5171	304.18
8.10	2.82	19	5630	296.32
7.80	2.55	19	5727	301.42
7.50	2.32	22	6306	286.64
7.20	2.10	24	6779	282.46
6.90	1.93	27	7782	288.22
6.60	1.68	29	8178	282.00
6.30	1.51	38	9829	258.66
6.00	1.26	55	13096	238.11
5.70	1.16	65	15225	234.23
5.40	0.99	94	20934	222.70
5.10	0.77	102	22824	223.76
4.80	0.65	174	36985	212.56
4.50	0.61	248	51708	208.50
4.20	0.46	354	71883	203.06
3.90	0.27	1009	202773	200.96
3.60	0.27	1575	313931	199.32
3.30	0.27	2606	521317	200.04
3.00	0.08	8993	1869346	207.87
2.70	0.08	18642	3937554	211.22
2.40	0.08	26295	5582861	212.32
2.10	0.00	91122	21063254	231.15
1.80	0.00	184593	44402585	240.54
1.50	0.00	259743	63783010	245.56
1.20	0.00	867505	263445502	303.68
0.90	0.00	1219084	391709531	321.31
0.60	0.00	2226309	1179255720	529.69
0.30	0.00	2394419	1540324160	643.30
