pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.94	45	10519	233.76
9.60	4.72	55	12681	230.56
9.30	4.45	62	14163	228.44
9.00	4.19	67	15304	228.42
8.70	3.98	85	19514	229.58
8.40	3.71	99	22677	229.06
8.10	3.46	113	25559	226.19
7.80	3.21	128	29041	226.88
7.50	2.98	161	37153	230.76
7.20	2.74	186	43320	232.90
6.90	2.48	213	49787	233.74
6.60	2.30	291	68397	235.04
6.30	2.05	341	80528	236.15
6.00	1.81	404	96265	238.28
5.70	1.65	535	128402	240.00
5.40	1.40	607	147215	242.53
5.10	1.20	762	187479	246.04
4.80	1.08	1049	260775	248.59
4.50	0.87	1248	313970	251.58
4.20	0.69	1619	419516	259.12
3.90	0.63	2448	627321	256.26
3.60	0.43	3537	906590	256.32
3.30	0.31	6546	1630684	249.11
3.00	0.30	9104	2261649	248.42
2.70	0.17	13795	3404462	246.79
2.40	0.10	34229	8304322	242.61
2.10	0.09	57643	14096282	244.54
1.80	0.00	147149	37080424	251.99
1.50	0.00	255094	66391617	260.26
1.20	0.00	601773	173894220	288.97
0.90	0.00	1022523	321352170	314.27
0.60	0.00	2018427	886474422	439.19
0.30	0.00	2075246	1829906749	881.78
