pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.44	171	44698	261.39
9.60	5.17	184	47792	259.74
9.30	4.91	203	53377	262.94
9.00	4.68	252	66388	263.44
8.70	4.42	283	74178	262.11
8.40	4.18	336	87709	261.04
8.10	3.90	370	95962	259.36
7.80	3.69	482	125434	260.24
7.50	3.44	550	143654	261.19
7.20	3.18	602	159679	265.25
6.90	2.98	811	219603	270.78
6.60	2.72	904	247044	273.28
6.30	2.48	1027	282469	275.04
6.00	2.25	1391	390712	280.89
5.70	2.04	1549	438678	283.20
5.40	1.80	1774	508617	286.71
5.10	1.58	2144	625854	291.91
4.80	1.39	2736	810720	296.32
4.50	1.18	3403	1022585	300.50
4.20	0.96	3986	1209814	303.52
3.90	0.83	5421	1680565	310.01
3.60	0.67	7144	2250939	315.08
3.30	0.44	8440	2673189	316.73
3.00	0.40	13731	4301515	313.27
2.70	0.26	19165	5994968	312.81
2.40	0.10	40072	12008857	299.68
2.10	0.10	67522	20023483	296.55
1.80	0.00	90008	26923113	299.12
1.50	0.00	294524	90107610	305.94
1.20	0.00	415848	130471626	313.75
0.90	0.00	1145070	438702774	383.12
0.60	0.00	1555710	656457768	421.97
0.30	0.00	2047709	1755089967	857.10
